#;presion_entrada;mfc;pcv;caudal_camara;presion_camara
Case 455;5;90;68,09;0,546;3,833
Case 456;5;90;68,02;0,545;3,838
Case 457;5;90;67,96;0,544;3,843
Case 458;5;90;67,89;0,543;3,849
Case 459;5;90;67,82;0,542;3,854
Case 460;5;90;67,76;0,541;3,859
Case 461;5;90;67,69;0,54;3,865
Case 463;5;90;67,55;0,538;3,875
Case 464;5;90;67,49;0,537;3,881
Case 465;5;90;67,42;0,536;3,886
Case 466;5;90;67,35;0,535;3,891
Case 467;5;90;67,29;0,534;3,896
Case 468;5;90;67,22;0,533;3,901
Case 469;5;90;67,16;0,532;3,907
Case 470;5;90;67,09;0,531;3,912
Case 471;5;90;67,02;0,53;3,917
Case 472;5;90;66,96;0,529;3,922
Case 473;5;90;66,89;0,528;3,927
Case 474;5;90;66,83;0,527;3,932
Case 476;5;90;66,7;0,525;3,942
Case 477;5;90;66,63;0,524;3,947
Case 479;5;90;66,5;0,522;3,957
Case 480;5;90;66,44;0,521;3,962
Case 481;5;90;66,37;0,52;3,967
Case 483;5;90;66,25;0,518;3,976
Case 484;5;90;66,18;0,517;3,981
Case 486;5;90;66,05;0,515;3,991
Case 487;5;90;65,99;0,514;3,996
Case 489;5;90;65,85;0,512;4,005
Case 491;5;90;65,73;0,51;4,015
Case 492;5;90;65,67;0,509;4,019
Case 493;5;90;65,6;0,508;4,024
Case 494;5;90;65,53;0,507;4,029
Case 495;5;90;65,48;0,506;4,033
Case 496;5;90;65,41;0,505;4,038
Case 497;5;90;65,35;0,504;4,042
Case 498;5;90;65,28;0,503;4,047
Case 499;5;90;65,22;0,502;4,052
Case 500;5;90;65,16;0,501;4,056
Case 501;5;90;65,09;0,5;4,061
Case 502;5;90;65,03;0,499;4,065
Case 504;5;90;64,9;0,497;4,074
Case 505;5;90;64,84;0,496;4,079
Case 506;5;90;64,78;0,495;4,083
Case 507;5;90;64,71;0,494;4,087
Case 508;5;90;64,65;0,493;4,092
Case 509;5;90;64,59;0,492;4,096
Case 510;5;90;64,53;0,491;4,101
Case 511;5;90;64,47;0,49;4,105
Case 512;5;90;64,4;0,489;4,109
Case 513;5;90;64,34;0,488;4,114
Case 514;5;90;64,28;0,487;4,118
Case 515;5;90;64,22;0,486;4,122
Case 516;5;90;64,15;0,485;4,127
Case 517;5;90;64,09;0,484;4,131
Case 518;5;90;64,03;0,483;4,135
Case 519;5;90;63,96;0,482;4,139
Case 520;5;90;63,91;0,481;4,143
Case 521;5;90;63,84;0,48;4,148
Case 522;5;90;63,78;0,479;4,152
Case 523;5;90;63,72;0,478;4,156
Case 525;5;90;63,6;0,476;4,164
Case 526;5;90;63,54;0,475;4,168
Case 527;5;90;63,47;0,474;4,173
Case 528;5;90;63,41;0,473;4,177
Case 529;5;90;63,35;0,472;4,181
Case 530;5;90;63,29;0,471;4,185
Case 531;5;90;63,23;0,47;4,189
Case 532;5;90;63,17;0,469;4,193
Case 533;5;90;63,1;0,468;4,197
Case 534;5;90;63,04;0,467;4,201
Case 535;5;90;62,98;0,466;4,205
Case 536;5;90;62,92;0,465;4,209
Case 537;5;90;62,86;0,464;4,213
Case 538;5;90;62,8;0,463;4,217
Case 539;5;90;62,74;0,462;4,221
Case 540;5;90;62,67;0,461;4,224
Case 541;5;90;62,61;0,46;4,228
Case 542;5;90;62,55;0,459;4,232
Case 543;5;90;62,49;0,458;4,236
Case 545;5;90;62,37;0,456;4,244
Case 546;5;90;62,31;0,455;4,248
Case 547;5;90;62,25;0,454;4,251
Case 548;5;90;62,19;0,453;4,255
Case 549;5;90;62,13;0,452;4,259
Case 550;5;90;62,07;0,451;4,263
Case 551;5;90;62;0,45;4,267
Case 553;5;90;61,88;0,448;4,274
Case 554;5;90;61,82;0,447;4,278
Case 555;5;90;61,76;0,446;4,281
Case 556;5;90;61,7;0,445;4,285
